Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4S0zagxseJHOL5ZVnTQA6X,"Playing God","Remember That You Will Die","Polyphia",2022-10-28,205925,62,false,21pgzyr7wjmjdenv3yhslz3ki,2023-12-02T19:09:43Z,"math rock,djent,progressive metal,progressive rock","Rise Records",0.601,0.789,4,-6.822,0,0.0328,0.0395,0.812,0.114,0.315,137.06,4
spotify:track:0YPuRrM2NwzdtuShUKkts6,"G.O.A.T.","New Levels New Devils","Polyphia",2018-10-12,215998,56,false,21pgzyr7wjmjdenv3yhslz3ki,2023-12-02T19:11:58Z,"math rock,djent,progressive metal,progressive rock","Equal Vision Records",0.66,0.76,11,-5.488,0,0.0332,0.000601,0.312,0.0949,0.359,107.028,4
spotify:track:2B3D38o8GaXnZo6DnTyZ2m,"Ego Death (feat. Steve Vai)","Remember That You Will Die","Polyphia;Steve Vai",2022-10-28,350085,57,false,21pgzyr7wjmjdenv3yhslz3ki,2023-12-02T19:16:55Z,"math rock,djent,progressive metal,progressive rock","Rise Records",0.655,0.763,2,-5.202,0,0.0526,0.0374,0.678,0.0703,0.445,128.028,4
spotify:track:07QlP7twNI81IsqhKLFiER,"Reverie","Remember That You Will Die","Polyphia",2022-10-28,242693,54,false,21pgzyr7wjmjdenv3yhslz3ki,2023-12-02T19:31:22Z,"math rock,djent,progressive metal,progressive rock","Rise Records",0.553,0.824,4,-5.261,0,0.055,0.00185,0.82,0.305,0.608,150.122,4
spotify:track:7hzYTORVWbYaFq7LIcHnNx,"Neurotica","Remember That You Will Die","Polyphia",2022-10-28,194590,52,false,21pgzyr7wjmjdenv3yhslz3ki,2023-12-02T19:40:01Z,"math rock,djent,progressive metal,progressive rock","Rise Records",0.69,0.677,11,-5.24,0,0.0545,0.0221,0.683,0.102,0.911,140.03,4
